06,00,0,
06,05,0,
06,10,0,
06,15,0,
06,20,0,
06,25,0,
06,30,0,
06,35,0,
06,40,0,
06,45,0,
06,50,0,
06,55,0,
07,00,0,
07,05,0,
07,10,0,
07,15,0,
07,20,0,
07,25,0,
07,30,0,
07,35,0,
07,40,0,
07,45,0,
07,50,0,
07,55,0,
08,00,0,
08,05,5,
08,10,5,
08,15,5,
08,20,5,
08,25,5,
08,30,5,
08,35,10,
08,40,10,
08,45,10,
08,50,20,
08,55,20,
09,00,30,
09,05,5,
09,10,5,
09,15,5,
09,20,10,
09,25,0,
09,30,0,
09,35,0,
09,40,0,
09,45,0,
09,50,0,
09,55,0,
10,00,0,
10,05,0,
10,10,0,
10,15,0,
10,20,0,
10,25,0,
10,30,0,
10,35,0,
10,40,0,
10,45,0,
10,50,0,
10,55,0,
11,00,0,
11,05,0,
11,10,0,
11,15,0,
11,20,0,
11,25,0,
11,30,0,
11,35,0,
11,40,0,
11,45,0,
11,50,0,
11,55,0,
12,00,0,
12,05,0,
12,10,0,
12,15,0,
12,20,0,
12,25,0,
12,30,0,
12,35,0,
12,40,0,
12,45,0,
12,50,0,
12,55,0,
13,00,0,
13,05,0,
13,10,0,
13,15,0,
13,20,0,
13,25,0,
13,30,0,
13,35,0,
13,40,0,
13,45,0,
13,50,0,
13,55,0,
14,00,0,
14,05,0,
14,10,0,
14,15,0,
14,20,0,
14,25,0,
14,30,0,
14,35,0,
14,40,0,
14,45,0,
14,50,0,
14,55,0,
15,00,0,
15,05,0,
15,10,0,
15,15,0,
15,20,0,
15,25,0,
15,30,0,
15,35,0,
15,40,0,
15,45,0,
15,50,0,
15,55,0,
16,00,0,
16,05,0,
16,10,0,
16,15,0,
16,20,0,
16,25,0,
16,30,0,
16,35,0,
16,40,0,
16,45,0,
16,50,0,
16,55,0,
17,00,0,
17,05,0,
17,10,0,
17,15,0,
17,20,0,
17,25,0,
17,30,0,
17,35,0,
17,40,0,
17,45,0,
17,50,0,
17,55,0,
18,00,80,
18,05,80,
18,10,80,
18,15,80,
18,20,80,
18,25,80,
18,30,80,
18,35,80,
18,40,80,
18,45,80,
18,50,80,
18,55,80,
19,00,0,
19,05,0,
19,10,0,
19,15,0,
19,20,0,
19,25,0,
19,30,0,
19,35,0,
19,40,0,
19,45,0,
19,50,0,
19,55,0,
20,00,0,
20,05,0,
20,10,0,
20,15,0,
20,20,0,
20,25,0,
20,30,0,
20,35,0,
20,40,0,
20,45,0,
20,50,0,
20,55,0,
21,00,0,
21,05,0,
21,10,0,
21,15,0,
21,20,0,
21,25,0,
21,30,0,
21,35,0,
21,40,0,
21,45,0,
21,50,0,
21,55,0,
22,00,0,
22,05,0,
22,10,0,
22,15,0,
22,20,0,
22,25,0,
22,30,0,
22,35,0,
22,40,0,
22,45,0,
22,50,0,
22,55,0,
23,00,0,
23,05,0,
23,10,0,
23,15,0,
23,20,0,
23,25,0,
23,30,0,
23,35,0,
23,40,0,
23,45,0,
23,50,0,
23,55,0,
